<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
A35,ABF SG BOND ETF,D,20050831,1.0100,1.0100,0.9900,0.9900,6000,0
A35,ABF SG BOND ETF,D,20050901,0.9900,1.0100,0.9900,1.0100,15000,0
A35,ABF SG BOND ETF,D,20050902,1.0000,1.0000,1.0000,1.0000,24000,0
A35,ABF SG BOND ETF,D,20050905,1.0000,1.0000,1.0000,1.0000,0,0
A35,ABF SG BOND ETF,D,20050906,1.0100,1.0100,1.0000,1.0000,45000,0
A35,ABF SG BOND ETF,D,20050907,1.0000,1.0000,1.0000,1.0000,10000,0
A35,ABF SG BOND ETF,D,20050908,0.9950,1.0000,0.9950,1.0000,12000,0
A35,ABF SG BOND ETF,D,20050909,1.0000,1.0000,0.9950,0.9950,18000,0
A35,ABF SG BOND ETF,D,20050912,1.0000,1.0000,0.9900,0.9900,31000,0
A35,ABF SG BOND ETF,D,20050913,0.9900,0.9900,0.9900,0.9900,32000,0
A35,ABF SG BOND ETF,D,20050914,0.9900,0.9900,0.9900,0.9900,50000,0
A35,ABF SG BOND ETF,D,20050915,0.9900,0.9900,0.9900,0.9900,0,0
A35,ABF SG BOND ETF,D,20050916,0.9900,0.9900,0.9900,0.9900,0,0
A35,ABF SG BOND ETF,D,20050919,0.9900,0.9900,0.9900,0.9900,5000,0
A35,ABF SG BOND ETF,D,20050920,0.9900,0.9900,0.9900,0.9900,0,0
A35,ABF SG BOND ETF,D,20050921,0.9900,0.9900,0.9900,0.9900,4000,0
A35,ABF SG BOND ETF,D,20050922,0.9900,0.9950,0.9900,0.9950,75000,0
A35,ABF SG BOND ETF,D,20050923,0.9950,0.9950,0.9950,0.9950,0,0
A35,ABF SG BOND ETF,D,20050926,0.9950,0.9950,0.9950,0.9950,25000,0
A35,ABF SG BOND ETF,D,20050927,0.9950,0.9950,0.9950,0.9950,10000,0
A35,ABF SG BOND ETF,D,20050928,0.9950,0.9950,0.9950,0.9950,0,0
A35,ABF SG BOND ETF,D,20050929,0.9950,0.9950,0.9950,0.9950,0,0
A35,ABF SG BOND ETF,D,20050930,0.9850,0.9850,0.9850,0.9850,86000,0
A35,ABF SG BOND ETF,D,20051003,0.9850,0.9900,0.9850,0.9900,10000,0
A35,ABF SG BOND ETF,D,20051004,0.9900,0.9900,0.9900,0.9900,0,0
A35,ABF SG BOND ETF,D,20051005,0.9900,0.9900,0.9900,0.9900,0,0
A35,ABF SG BOND ETF,D,20051006,0.9800,0.9800,0.9800,0.9800,1000,0
A35,ABF SG BOND ETF,D,20051007,0.9800,0.9800,0.9800,0.9800,41000,0
A35,ABF SG BOND ETF,D,20051010,0.9800,0.9800,0.9800,0.9800,0,0
A35,ABF SG BOND ETF,D,20051011,0.9850,0.9850,0.9800,0.9800,13000,0
A35,ABF SG BOND ETF,D,20051012,0.9800,0.9800,0.9800,0.9800,16000,0
A35,ABF SG BOND ETF,D,20051013,0.9800,0.9800,0.9800,0.9800,17000,0
A35,ABF SG BOND ETF,D,20051014,0.9800,0.9800,0.9800,0.9800,11000,0
A35,ABF SG BOND ETF,D,20051017,0.9800,0.9800,0.9800,0.9800,0,0
A35,ABF SG BOND ETF,D,20051018,0.9750,0.9750,0.9700,0.9700,6000,0
A35,ABF SG BOND ETF,D,20051019,0.9700,0.9700,0.9700,0.9700,15000,0
A35,ABF SG BOND ETF,D,20051020,0.9700,0.9700,0.9700,0.9700,10000,0
A35,ABF SG BOND ETF,D,20051021,0.9700,0.9700,0.9700,0.9700,0,0
A35,ABF SG BOND ETF,D,20051024,0.9600,0.9600,0.9600,0.9600,8000,0
A35,ABF SG BOND ETF,D,20051025,0.9600,0.9600,0.9600,0.9600,0,0
A35,ABF SG BOND ETF,D,20051026,0.9600,0.9600,0.9600,0.9600,0,0
A35,ABF SG BOND ETF,D,20051027,0.9650,0.9650,0.9600,0.9600,10000,0
A35,ABF SG BOND ETF,D,20051028,0.9600,0.9600,0.9600,0.9600,9000,0
A35,ABF SG BOND ETF,D,20051031,0.9550,0.9550,0.9550,0.9550,10000,0
A35,ABF SG BOND ETF,D,20051102,0.9550,0.9550,0.9550,0.9550,0,0
A35,ABF SG BOND ETF,D,20051104,0.9450,0.9450,0.9450,0.9450,5000,0
A35,ABF SG BOND ETF,D,20051107,0.9450,0.9450,0.9350,0.9400,21000,0
A35,ABF SG BOND ETF,D,20051108,0.9450,0.9450,0.9450,0.9450,5000,0
A35,ABF SG BOND ETF,D,20051109,0.9450,0.9450,0.9450,0.9450,0,0
A35,ABF SG BOND ETF,D,20051110,0.9400,0.9400,0.9400,0.9400,20000,0
A35,ABF SG BOND ETF,D,20051111,0.9500,0.9500,0.9500,0.9500,10000,0
