<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
QR9,CIMB APAC Div S$D,D,20120615,1.2240,1.2240,1.2240,1.2240,3000,0
QR9,CIMB APAC Div S$D,D,20120618,1.2240,1.2240,1.2240,1.2240,0,0
QR9,CIMB APAC Div S$D,D,20120619,1.2240,1.2240,1.2240,1.2240,0,0
QR9,CIMB APAC Div S$D,D,20120620,1.2240,1.2240,1.2240,1.2240,0,0
QR9,CIMB APAC Div S$D,D,20120621,1.2240,1.2240,1.2240,1.2240,0,0
QR9,CIMB APAC Div S$D,D,20120622,1.2240,1.2240,1.2240,1.2240,0,0
QR9,CIMB APAC Div S$D,D,20120625,1.2220,1.2220,1.2220,1.2220,1000,0
QR9,CIMB APAC Div S$D,D,20120626,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120627,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120628,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120629,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120702,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120703,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120704,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120705,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120706,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120709,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120710,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120711,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120712,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120713,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120716,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120717,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120718,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120719,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120720,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120723,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120724,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120725,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120726,1.2220,1.2220,1.2220,1.2220,0,0
QR9,CIMB APAC Div S$D,D,20120727,1.2610,1.2610,1.2610,1.2610,4000,0
QR9,CIMB APAC Div S$D,D,20120730,1.2680,1.2680,1.2680,1.2680,1000,0
QR9,CIMB APAC Div S$D,D,20120731,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120801,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120802,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120803,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120806,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120807,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120808,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120810,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120813,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120814,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120815,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120816,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120817,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120821,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120822,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120823,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120824,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120827,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120828,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120829,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120830,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120831,1.2680,1.2680,1.2680,1.2680,0,0
QR9,CIMB APAC Div S$D,D,20120903,1.2680,1.2680,1.2680,1.2680,0,0
