<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
QS0,CIMBASEAN40 S$D,D,20120615,0.0000,0.0000,0.0000,0.0000,0,0
QS0,CIMBASEAN40 S$D,D,20120618,0.0000,0.0000,0.0000,0.0000,0,0
QS0,CIMBASEAN40 S$D,D,20120619,0.0000,0.0000,0.0000,0.0000,0,0
QS0,CIMBASEAN40 S$D,D,20120620,12.4600,12.4600,12.4600,12.4600,2000,0
QS0,CIMBASEAN40 S$D,D,20120621,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120622,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120625,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120626,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120627,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120628,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120629,12.4600,12.4600,12.4600,12.4600,0,0
QS0,CIMBASEAN40 S$D,D,20120702,12.6000,12.6000,12.6000,12.6000,1500,0
QS0,CIMBASEAN40 S$D,D,20120703,12.6000,12.6000,12.6000,12.6000,0,0
QS0,CIMBASEAN40 S$D,D,20120704,12.6000,12.6000,12.6000,12.6000,0,0
QS0,CIMBASEAN40 S$D,D,20120705,12.6000,12.6000,12.6000,12.6000,0,0
QS0,CIMBASEAN40 S$D,D,20120706,12.7400,12.7500,12.7200,12.7200,5000,0
QS0,CIMBASEAN40 S$D,D,20120709,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120710,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120711,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120712,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120713,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120716,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120717,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120718,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120719,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120720,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120723,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120724,12.7200,12.7200,12.7200,12.7200,0,0
QS0,CIMBASEAN40 S$D,D,20120725,12.6100,12.6100,12.6100,12.6100,1000,0
QS0,CIMBASEAN40 S$D,D,20120726,12.6100,12.6100,12.6100,12.6100,0,0
QS0,CIMBASEAN40 S$D,D,20120727,12.7800,12.7800,12.7800,12.7800,2500,0
QS0,CIMBASEAN40 S$D,D,20120730,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120731,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120801,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120802,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120803,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120806,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120807,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120808,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120810,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120813,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120814,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120815,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120816,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120817,12.7800,12.7800,12.7800,12.7800,0,0
QS0,CIMBASEAN40 S$D,D,20120821,13.1000,13.1000,13.1000,13.1000,5000,0
QS0,CIMBASEAN40 S$D,D,20120822,13.1000,13.1000,13.1000,13.1000,0,0
QS0,CIMBASEAN40 S$D,D,20120823,13.1000,13.1000,13.1000,13.1000,0,0
QS0,CIMBASEAN40 S$D,D,20120824,13.1000,13.1000,13.1000,13.1000,0,0
QS0,CIMBASEAN40 S$D,D,20120827,13.0400,13.0400,13.0300,13.0300,5000,0
QS0,CIMBASEAN40 S$D,D,20120828,13.0300,13.0300,13.0300,13.0300,0,0
