<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
O9B,DBXT MSASPAC US$,D,20111103,0.0000,0.0000,0.0000,0.0000,0,0
O9B,DBXT MSASPAC US$,D,20111104,0.0000,0.0000,0.0000,0.0000,0,0
O9B,DBXT MSASPAC US$,D,20111108,0.0000,0.0000,0.0000,0.0000,0,0
O9B,DBXT MSASPAC US$,D,20111109,0.0000,0.0000,0.0000,0.0000,0,0
O9B,DBXT MSASPAC US$,D,20111110,3.0700,3.0700,3.0700,3.0700,16500,0
O9B,DBXT MSASPAC US$,D,20111111,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111114,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111115,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111116,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111117,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111118,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111121,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111122,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111123,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111124,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111125,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111128,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111129,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111130,3.0700,3.0700,3.0700,3.0700,0,0
O9B,DBXT MSASPAC US$,D,20111201,3.0900,3.1200,3.0900,3.1200,48000,0
O9B,DBXT MSASPAC US$,D,20111202,3.1200,3.1200,3.1200,3.1200,0,0
O9B,DBXT MSASPAC US$,D,20111205,3.1200,3.1200,3.1200,3.1200,16500,0
