<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
N2F,DBXT MSAXJHDY US$,D,20110427,0.0000,0.0000,0.0000,0.0000,0,0
N2F,DBXT MSAXJHDY US$,D,20110428,1.8400,1.8400,1.8400,1.8400,16400,0
N2F,DBXT MSAXJHDY US$,D,20110429,1.8400,1.8400,1.8400,1.8400,1000,0
N2F,DBXT MSAXJHDY US$,D,20110503,1.8400,1.8400,1.8400,1.8400,0,0
N2F,DBXT MSAXJHDY US$,D,20110504,1.8150,1.8150,1.8150,1.8150,1000,0
N2F,DBXT MSAXJHDY US$,D,20110505,1.8150,1.8150,1.8150,1.8150,0,0
N2F,DBXT MSAXJHDY US$,D,20110506,1.8150,1.8150,1.8150,1.8150,0,0
N2F,DBXT MSAXJHDY US$,D,20110509,1.8150,1.8150,1.8150,1.8150,0,0
N2F,DBXT MSAXJHDY US$,D,20110510,1.8150,1.8150,1.8150,1.8150,0,0
N2F,DBXT MSAXJHDY US$,D,20110511,1.8300,1.8310,1.8300,1.8310,28000,0
N2F,DBXT MSAXJHDY US$,D,20110512,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110513,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110516,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110518,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110519,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110520,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110523,1.8310,1.8310,1.8310,1.8310,0,0
N2F,DBXT MSAXJHDY US$,D,20110524,1.7790,1.7790,1.7790,1.7790,8430,0
N2F,DBXT MSAXJHDY US$,D,20110525,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110526,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110527,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110530,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110531,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110601,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110602,1.7790,1.7790,1.7790,1.7790,0,0
N2F,DBXT MSAXJHDY US$,D,20110603,1.8190,1.8190,1.8190,1.8190,5000,0
