<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
J0M,DBXT MSEmer US$,D,20100108,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100111,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100112,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100113,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100114,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100115,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100118,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100119,0.0000,0.0000,0.0000,0.0000,0,0
J0M,DBXT MSEmer US$,D,20100120,3.7700,3.7700,3.7600,3.7600,8130,0
J0M,DBXT MSEmer US$,D,20100121,3.7600,3.7600,3.7600,3.7600,0,0
J0M,DBXT MSEmer US$,D,20100122,3.7600,3.7600,3.7600,3.7600,0,0
J0M,DBXT MSEmer US$,D,20100125,3.6000,3.6000,3.6000,3.6000,500,0
J0M,DBXT MSEmer US$,D,20100126,3.5100,3.5100,3.5000,3.5000,10,0
J0M,DBXT MSEmer US$,D,20100127,3.4900,3.4900,3.4900,3.4900,290,0
J0M,DBXT MSEmer US$,D,20100128,3.4900,3.4900,3.4900,3.4900,0,0
J0M,DBXT MSEmer US$,D,20100129,3.4900,3.4900,3.4900,3.4900,0,0
J0M,DBXT MSEmer US$,D,20100201,3.4800,3.4800,3.4790,3.4790,580,0
J0M,DBXT MSEmer US$,D,20100202,3.4800,3.4800,3.4800,3.4800,0,0
J0M,DBXT MSEmer US$,D,20100203,3.4800,3.4800,3.4800,3.4800,0,0
J0M,DBXT MSEmer US$,D,20100204,3.5400,3.5400,3.5390,3.5390,570,0
J0M,DBXT MSEmer US$,D,20100205,3.5400,3.5400,3.5400,3.5400,0,0
J0M,DBXT MSEmer US$,D,20100208,3.5400,3.5400,3.5400,3.5400,0,0
J0M,DBXT MSEmer US$,D,20100209,3.5400,3.5400,3.5400,3.5400,0,0
J0M,DBXT MSEmer US$,D,20100210,3.4100,3.4100,3.4100,3.4100,700,0
J0M,DBXT MSEmer US$,D,20100211,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100212,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100217,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100218,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100219,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100222,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100223,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100224,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100225,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100226,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100301,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100302,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100303,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100304,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100305,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100308,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100309,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100310,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100311,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100312,3.4100,3.4100,3.4100,3.4100,0,0
J0M,DBXT MSEmer US$,D,20100315,3.6700,3.6700,3.6700,3.6700,1450,0
J0M,DBXT MSEmer US$,D,20100316,3.6900,3.6900,3.6900,3.6900,400,0
J0M,DBXT MSEmer US$,D,20100317,3.6900,3.6900,3.6900,3.6900,0,0
J0M,DBXT MSEmer US$,D,20100318,3.6900,3.6900,3.6900,3.6900,0,0
J0M,DBXT MSEmer US$,D,20100319,3.6900,3.6900,3.6900,3.6900,0,0
J0M,DBXT MSEmer US$,D,20100322,3.6900,3.6900,3.6900,3.6900,0,0
J0M,DBXT MSEmer US$,D,20100323,3.6900,3.6900,3.6900,3.6900,0,0
