<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
IH3,DBXT MSEurope US$,D,20090715,34.3400,34.4000,34.3400,34.4000,400,0
IH3,DBXT MSEurope US$,D,20090716,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090717,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090720,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090721,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090722,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090723,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090724,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090727,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090728,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090729,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090730,34.4000,34.4000,34.4000,34.4000,0,0
IH3,DBXT MSEurope US$,D,20090731,37.6500,37.8800,37.6500,37.8300,47500,0
IH3,DBXT MSEurope US$,D,20090803,38.1700,38.1700,38.1700,38.1700,7500,0
IH3,DBXT MSEurope US$,D,20090804,38.1700,38.1700,38.1700,38.1700,0,0
IH3,DBXT MSEurope US$,D,20090805,38.1700,38.1700,38.1700,38.1700,0,0
IH3,DBXT MSEurope US$,D,20090806,38.1700,38.1700,38.1700,38.1700,0,0
IH3,DBXT MSEurope US$,D,20090807,38.1700,38.1700,38.1700,38.1700,0,0
IH3,DBXT MSEurope US$,D,20090811,38.1700,38.1700,38.1700,38.1700,0,0
IH3,DBXT MSEurope US$,D,20090812,38.0500,38.0500,38.0500,38.0500,1150,0
IH3,DBXT MSEurope US$,D,20090813,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090814,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090817,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090818,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090819,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090820,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090821,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090824,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090825,38.0500,38.0500,38.0500,38.0500,0,0
IH3,DBXT MSEurope US$,D,20090826,40.2400,40.4200,40.2400,40.4200,5750,0
IH3,DBXT MSEurope US$,D,20090827,40.4200,40.4200,40.4200,40.4200,0,0
IH3,DBXT MSEurope US$,D,20090828,40.4200,40.4200,40.4200,40.4200,0,0
IH3,DBXT MSEurope US$,D,20090831,40.1300,40.1300,39.8800,39.9900,7000,0
IH3,DBXT MSEurope US$,D,20090901,39.9900,39.9900,39.9900,39.9900,0,0
IH3,DBXT MSEurope US$,D,20090902,39.9900,39.9900,39.9900,39.9900,0,0
IH3,DBXT MSEurope US$,D,20090903,39.9900,39.9900,39.9900,39.9900,0,0
IH3,DBXT MSEurope US$,D,20090904,39.9900,39.9900,39.9900,39.9900,0,0
