<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
LF2,DBXT MSJAP US$,D,20100615,0.0000,0.0000,0.0000,0.0000,0,0
LF2,DBXT MSJAP US$,D,20100616,0.0000,0.0000,0.0000,0.0000,0,0
LF2,DBXT MSJAP US$,D,20100617,0.0000,0.0000,0.0000,0.0000,0,0
LF2,DBXT MSJAP US$,D,20100618,35.4900,35.5300,35.4900,35.5300,3000,0
LF2,DBXT MSJAP US$,D,20100621,36.1900,36.4100,36.1900,36.4100,4500,0
LF2,DBXT MSJAP US$,D,20100622,36.0200,36.0200,36.0200,36.0200,1500,0
LF2,DBXT MSJAP US$,D,20100623,35.5100,35.5100,35.4800,35.4800,3000,0
LF2,DBXT MSJAP US$,D,20100624,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100625,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100628,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100629,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100630,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100701,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100702,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100705,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100706,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100707,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100708,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100709,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100712,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100713,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100714,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100715,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100716,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100719,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100720,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100721,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100722,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100723,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100726,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100727,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100728,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100729,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100730,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100802,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100803,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100804,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100805,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100806,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100810,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100811,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100812,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100813,35.4800,35.4800,35.4800,35.4800,0,0
LF2,DBXT MSJAP US$,D,20100816,34.9800,35.0300,34.9800,35.0300,4500,0
LF2,DBXT MSJAP US$,D,20100817,35.3900,35.3900,35.3600,35.3600,4500,0
LF2,DBXT MSJAP US$,D,20100818,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100819,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100820,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100823,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100824,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100825,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100826,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100827,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100830,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100831,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100901,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100902,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100903,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100906,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100907,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100908,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100909,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100913,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100914,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100915,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100916,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100917,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100920,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100921,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100922,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100923,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100924,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100927,35.3600,35.3600,35.3600,35.3600,0,0
LF2,DBXT MSJAP US$,D,20100928,36.7100,36.7400,36.7100,36.7400,3000,0
LF2,DBXT MSJAP US$,D,20100929,37.1700,37.5400,36.9900,37.0400,26500,0
LF2,DBXT MSJAP US$,D,20100930,37.0400,37.0400,37.0400,37.0400,0,0
LF2,DBXT MSJAP US$,D,20101001,36.6300,36.6300,36.6000,36.6000,5000,0
LF2,DBXT MSJAP US$,D,20101004,36.7400,36.7400,36.2400,36.2400,4500,0
LF2,DBXT MSJAP US$,D,20101005,36.2500,36.3900,36.2400,36.3900,5000,0
LF2,DBXT MSJAP US$,D,20101006,37.3600,37.3600,37.2100,37.2100,4000,0
LF2,DBXT MSJAP US$,D,20101007,37.7300,37.7300,37.5500,37.5700,6000,0
LF2,DBXT MSJAP US$,D,20101008,37.5100,37.5100,37.4300,37.4300,3000,0
LF2,DBXT MSJAP US$,D,20101011,37.8100,37.8100,37.7900,37.7900,3000,0
LF2,DBXT MSJAP US$,D,20101012,37.7900,37.7900,37.7900,37.7900,0,0
LF2,DBXT MSJAP US$,D,20101013,37.7900,37.7900,37.7900,37.7900,0,0
LF2,DBXT MSJAP US$,D,20101014,37.7900,37.7900,37.7900,37.7900,0,0
LF2,DBXT MSJAP US$,D,20101015,37.7900,37.7900,37.7900,37.7900,0,0
LF2,DBXT MSJAP US$,D,20101018,37.7900,37.7900,37.7900,37.7900,0,0
LF2,DBXT MSJAP US$,D,20101019,37.6700,37.6700,37.6700,37.6700,1500,0
LF2,DBXT MSJAP US$,D,20101020,37.6700,37.6700,37.6700,37.6700,0,0
LF2,DBXT MSJAP US$,D,20101021,37.6700,37.6700,37.6700,37.6700,48290,0
LF2,DBXT MSJAP US$,D,20101022,37.6700,37.6700,37.6700,37.6700,0,0
LF2,DBXT MSJAP US$,D,20101025,37.5800,37.5800,37.1500,37.1800,8000,0
LF2,DBXT MSJAP US$,D,20101026,37.3900,37.3900,37.1800,37.2000,60,0
LF2,DBXT MSJAP US$,D,20101027,37.1100,37.1800,37.1000,37.1670,130,0
LF2,DBXT MSJAP US$,D,20101028,36.8700,36.8700,36.8670,36.8670,60,0
LF2,DBXT MSJAP US$,D,20101029,36.9500,36.9500,36.9500,36.9500,6000,0
LF2,DBXT MSJAP US$,D,20101101,36.9500,36.9500,36.9500,36.9500,0,0
LF2,DBXT MSJAP US$,D,20101102,36.7900,36.8000,36.7900,36.7910,7000,0
LF2,DBXT MSJAP US$,D,20101103,36.8000,36.8000,36.8000,36.8000,0,0
LF2,DBXT MSJAP US$,D,20101104,37.2100,37.4000,37.2100,37.4000,12000,0
LF2,DBXT MSJAP US$,D,20101108,37.4000,37.4000,37.4000,37.4000,0,0
LF2,DBXT MSJAP US$,D,20101109,38.2200,38.3000,38.2200,38.3000,9000,0
LF2,DBXT MSJAP US$,D,20101110,38.3000,38.3000,38.3000,38.3000,0,0
LF2,DBXT MSJAP US$,D,20101111,38.3000,38.3000,38.3000,38.3000,0,0
LF2,DBXT MSJAP US$,D,20101112,38.3000,38.3000,38.3000,38.3000,0,0
LF2,DBXT MSJAP US$,D,20101115,38.3000,38.3000,38.3000,38.3000,0,0
LF2,DBXT MSJAP US$,D,20101116,38.3000,38.3000,38.3000,38.3000,0,0
LF2,DBXT MSJAP US$,D,20101118,38.3000,38.6300,38.3000,38.4500,14500,0
LF2,DBXT MSJAP US$,D,20101119,38.4500,38.4500,38.4500,38.4500,0,0
