<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
J0P,DBXT MSWorld US$,D,20100108,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100111,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100112,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100113,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100114,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100115,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100118,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100119,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100120,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100121,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100122,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100125,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100126,0.0000,0.0000,0.0000,0.0000,0,0
J0P,DBXT MSWorld US$,D,20100127,2.7300,2.7300,2.7280,2.7280,360,0
J0P,DBXT MSWorld US$,D,20100128,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100129,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100201,2.6800,2.6800,2.6800,2.6800,740,0
J0P,DBXT MSWorld US$,D,20100202,2.6800,2.6800,2.6800,2.6800,0,0
J0P,DBXT MSWorld US$,D,20100203,2.6800,2.6800,2.6800,2.6800,0,0
J0P,DBXT MSWorld US$,D,20100204,2.7300,2.7300,2.7290,2.7290,730,0
J0P,DBXT MSWorld US$,D,20100205,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100208,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100209,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100210,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100211,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100212,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100217,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100218,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100219,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100222,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100223,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100224,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100225,2.7300,2.7300,2.7300,2.7300,0,0
J0P,DBXT MSWorld US$,D,20100226,2.7200,2.7200,2.7200,2.7200,4000,0
J0P,DBXT MSWorld US$,D,20100301,2.7200,2.7200,2.7200,2.7200,0,0
