<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
K6K,DBXT S&P500 US$,D,20100517,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100518,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100519,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100520,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100521,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100524,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100525,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100526,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100527,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100531,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100601,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100602,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100603,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100604,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100607,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100608,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100609,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100610,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100611,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100614,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100615,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100616,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100617,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100618,0.0000,0.0000,0.0000,0.0000,0,0
K6K,DBXT S&P500 US$,D,20100621,17.5800,17.6100,17.5800,17.6100,12000,0
K6K,DBXT S&P500 US$,D,20100622,17.6100,17.6100,17.6100,17.6100,0,0
K6K,DBXT S&P500 US$,D,20100623,17.6100,17.6100,17.6100,17.6100,0,0
K6K,DBXT S&P500 US$,D,20100624,17.6100,17.6100,17.6100,17.6100,0,0
K6K,DBXT S&P500 US$,D,20100625,17.6100,17.6100,17.6100,17.6100,0,0
K6K,DBXT S&P500 US$,D,20100628,16.9300,16.9300,16.9300,16.9300,6000,0
K6K,DBXT S&P500 US$,D,20100629,16.9300,16.9300,16.9300,16.9300,0,0
K6K,DBXT S&P500 US$,D,20100630,16.9300,16.9300,16.9300,16.9300,0,0
K6K,DBXT S&P500 US$,D,20100701,16.9300,16.9300,16.9300,16.9300,0,0
K6K,DBXT S&P500 US$,D,20100702,16.2200,16.2200,16.2100,16.2100,300,0
K6K,DBXT S&P500 US$,D,20100705,16.2100,16.2100,16.2100,16.2100,0,0
K6K,DBXT S&P500 US$,D,20100706,16.2100,16.2100,16.2100,16.2100,0,0
K6K,DBXT S&P500 US$,D,20100707,16.1000,16.1000,16.1000,16.1000,300,0
K6K,DBXT S&P500 US$,D,20100708,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100709,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100712,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100713,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100714,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100715,16.1000,16.1000,16.1000,16.1000,0,0
K6K,DBXT S&P500 US$,D,20100716,16.1000,16.1000,16.1000,16.1000,0,0
