<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
KT3,DBXT STGLDv US$,D,20100317,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100318,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100319,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100322,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100323,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100324,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100325,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100326,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100329,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100330,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100331,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100401,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100405,0.0000,0.0000,0.0000,0.0000,0,0
KT3,DBXT STGLDv US$,D,20100406,27.4400,27.4600,27.4400,27.4480,4000,0
KT3,DBXT STGLDv US$,D,20100407,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100408,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100409,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100412,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100413,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100414,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100415,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100416,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100419,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100420,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100421,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100422,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100423,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100426,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100427,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100428,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100429,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100430,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100503,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100504,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100505,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100506,27.4600,27.4600,27.4600,27.4600,0,0
KT3,DBXT STGLDv US$,D,20100507,31.1000,31.1000,25.4300,28.1500,16000,0
KT3,DBXT STGLDv US$,D,20100510,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100511,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100512,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100513,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100514,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100517,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100518,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100519,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100520,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100521,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100524,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100525,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100526,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100527,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100531,28.1500,28.1500,28.1500,28.1500,0,0
KT3,DBXT STGLDv US$,D,20100601,26.4800,26.6300,26.4800,26.6300,10000,0
KT3,DBXT STGLDv US$,D,20100602,26.6300,26.6300,26.6300,26.6300,0,0
KT3,DBXT STGLDv US$,D,20100603,26.4800,26.4800,26.4800,26.4800,1300,0
KT3,DBXT STGLDv US$,D,20100604,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100607,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100608,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100609,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100610,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100611,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100614,26.4800,26.4800,26.4800,26.4800,0,0
KT3,DBXT STGLDv US$,D,20100615,26.2100,26.2100,26.2100,26.2100,100,0
KT3,DBXT STGLDv US$,D,20100616,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100617,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100618,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100621,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100622,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100623,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100624,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100625,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100628,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100629,26.2100,26.2100,26.2100,26.2100,0,0
KT3,DBXT STGLDv US$,D,20100630,25.4800,25.4800,25.1500,25.1630,22000,0
KT3,DBXT STGLDv US$,D,20100701,24.8500,24.8500,24.8000,24.8200,10000,0
KT3,DBXT STGLDv US$,D,20100702,25.2200,25.2200,25.1900,25.1900,5000,0
KT3,DBXT STGLDv US$,D,20100705,25.1600,25.1600,25.0700,25.0700,9000,0
KT3,DBXT STGLDv US$,D,20100706,25.0700,25.0700,25.0700,25.0700,0,0
KT3,DBXT STGLDv US$,D,20100707,25.4000,25.4000,25.3800,25.3800,5000,0
KT3,DBXT STGLDv US$,D,20100708,25.3800,25.3800,25.3800,25.3800,0,0
