<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
QL2,IS ASIA BND S$D,D,20120615,0.0000,0.0000,0.0000,0.0000,0,0
QL2,IS ASIA BND S$D,D,20120618,0.0000,0.0000,0.0000,0.0000,0,0
QL2,IS ASIA BND S$D,D,20120619,12.8800,12.8800,12.8800,12.8800,100,0
QL2,IS ASIA BND S$D,D,20120620,12.8800,12.8800,12.8800,12.8800,0,0
QL2,IS ASIA BND S$D,D,20120621,12.8800,12.8800,12.8800,12.8800,0,0
QL2,IS ASIA BND S$D,D,20120622,12.8800,12.8800,12.8800,12.8800,0,0
QL2,IS ASIA BND S$D,D,20120625,12.8800,12.8800,12.8800,12.8800,0,0
QL2,IS ASIA BND S$D,D,20120626,13.0300,13.0300,12.9900,12.9900,3000,0
QL2,IS ASIA BND S$D,D,20120627,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120628,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120629,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120702,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120703,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120704,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120705,12.9900,12.9900,12.9900,12.9900,0,0
QL2,IS ASIA BND S$D,D,20120706,13.0600,13.0600,13.0600,13.0600,900,0
QL2,IS ASIA BND S$D,D,20120709,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120710,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120711,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120712,13.1700,13.1700,13.1700,13.1700,100,0
QL2,IS ASIA BND S$D,D,20120713,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120716,13.2400,13.2400,13.2400,13.2400,1000,0
QL2,IS ASIA BND S$D,D,20120717,13.1500,13.1500,13.1500,13.1500,500,0
QL2,IS ASIA BND S$D,D,20120718,13.1500,13.1500,13.1500,13.1500,0,0
QL2,IS ASIA BND S$D,D,20120719,13.2600,13.2600,13.2600,13.2600,100,0
QL2,IS ASIA BND S$D,D,20120720,13.2600,13.2600,13.2600,13.2600,0,0
QL2,IS ASIA BND S$D,D,20120723,13.2600,13.2600,13.2600,13.2600,0,0
QL2,IS ASIA BND S$D,D,20120724,13.2600,13.2600,13.2600,13.2600,0,0
QL2,IS ASIA BND S$D,D,20120725,13.2600,13.2600,13.2600,13.2600,0,0
QL2,IS ASIA BND S$D,D,20120726,13.1700,13.1800,13.1400,13.1800,4400,0
QL2,IS ASIA BND S$D,D,20120727,13.2000,13.2000,13.1600,13.1700,1500,0
QL2,IS ASIA BND S$D,D,20120730,13.0300,13.0300,13.0300,13.0300,500,0
QL2,IS ASIA BND S$D,D,20120731,13.0600,13.0600,13.0600,13.0600,500,0
QL2,IS ASIA BND S$D,D,20120801,13.0700,13.0700,13.0700,13.0700,500,0
QL2,IS ASIA BND S$D,D,20120802,13.0700,13.0700,13.0700,13.0700,0,0
QL2,IS ASIA BND S$D,D,20120803,13.0700,13.0700,13.0700,13.0700,0,0
QL2,IS ASIA BND S$D,D,20120806,13.0700,13.0700,13.0700,13.0700,0,0
QL2,IS ASIA BND S$D,D,20120807,13.0700,13.0700,13.0700,13.0700,0,0
QL2,IS ASIA BND S$D,D,20120808,13.2200,13.2200,13.2200,13.2200,500,0
QL2,IS ASIA BND S$D,D,20120810,13.1000,13.1000,13.0500,13.0500,600,0
QL2,IS ASIA BND S$D,D,20120813,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120814,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120815,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120816,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120817,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120821,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120822,13.0500,13.0500,13.0500,13.0500,0,0
QL2,IS ASIA BND S$D,D,20120823,13.0800,13.0800,13.0600,13.0600,1500,0
QL2,IS ASIA BND S$D,D,20120824,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120827,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120828,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120829,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120830,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120831,13.0600,13.0600,13.0600,13.0600,0,0
QL2,IS ASIA BND S$D,D,20120903,13.0500,13.1700,13.0500,13.1700,3200,0
QL2,IS ASIA BND S$D,D,20120904,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120905,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120906,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120907,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120910,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120911,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120912,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120913,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120914,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120917,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120918,13.1700,13.1700,13.1700,13.1700,0,0
QL2,IS ASIA BND S$D,D,20120919,13.1300,13.1300,13.1300,13.1300,300,0
QL2,IS ASIA BND S$D,D,20120920,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20120921,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20120924,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20120925,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20120926,13.0900,13.0900,13.0900,13.0900,1500,0
QL2,IS ASIA BND S$D,D,20120927,13.1000,13.1000,13.1000,13.1000,300,0
QL2,IS ASIA BND S$D,D,20120928,13.1000,13.1000,13.1000,13.1000,0,0
QL2,IS ASIA BND S$D,D,20121001,13.1000,13.1000,13.1000,13.1000,0,0
QL2,IS ASIA BND S$D,D,20121002,13.1300,13.1300,13.1300,13.1300,500,0
QL2,IS ASIA BND S$D,D,20121003,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20121004,13.1300,13.1300,13.1300,13.1300,0,0
QL2,IS ASIA BND S$D,D,20121005,13.1000,13.1000,13.0300,13.0300,1000,0
QL2,IS ASIA BND S$D,D,20121008,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121009,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121010,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121011,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121012,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121015,13.0300,13.0300,13.0300,13.0300,0,0
QL2,IS ASIA BND S$D,D,20121016,13.2000,13.2000,13.2000,13.2000,200,0
QL2,IS ASIA BND S$D,D,20121017,13.2000,13.2000,13.2000,13.2000,0,0
QL2,IS ASIA BND S$D,D,20121018,13.2000,13.2000,13.2000,13.2000,0,0
QL2,IS ASIA BND S$D,D,20121019,13.2000,13.2000,13.2000,13.2000,0,0
QL2,IS ASIA BND S$D,D,20121022,13.2000,13.2000,13.2000,13.2000,0,0
QL2,IS ASIA BND S$D,D,20121023,13.0700,13.0700,13.0700,13.0700,1300,0
QL2,IS ASIA BND S$D,D,20121024,13.0400,13.0400,13.0400,13.0400,700,0
