<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
QL3,IS ASIA HYG S$D,D,20120615,0.0000,0.0000,0.0000,0.0000,0,0
QL3,IS ASIA HYG S$D,D,20120618,0.0000,0.0000,0.0000,0.0000,0,0
QL3,IS ASIA HYG S$D,D,20120619,0.0000,0.0000,0.0000,0.0000,0,0
QL3,IS ASIA HYG S$D,D,20120620,0.0000,0.0000,0.0000,0.0000,0,0
QL3,IS ASIA HYG S$D,D,20120621,13.1900,13.1900,13.1900,13.1900,5000,0
QL3,IS ASIA HYG S$D,D,20120622,13.1900,13.1900,13.1900,13.1900,0,0
QL3,IS ASIA HYG S$D,D,20120625,13.3100,13.3100,13.2800,13.2900,5000,0
QL3,IS ASIA HYG S$D,D,20120626,13.2900,13.2900,13.2900,13.2900,0,0
QL3,IS ASIA HYG S$D,D,20120627,13.1700,13.2200,13.1700,13.2200,15500,0
QL3,IS ASIA HYG S$D,D,20120628,13.2200,13.2200,13.2200,13.2200,0,0
QL3,IS ASIA HYG S$D,D,20120629,13.3200,13.3200,13.3000,13.3000,1000,0
QL3,IS ASIA HYG S$D,D,20120702,13.3000,13.3000,13.3000,13.3000,0,0
QL3,IS ASIA HYG S$D,D,20120703,13.3000,13.3000,13.3000,13.3000,1000,0
QL3,IS ASIA HYG S$D,D,20120704,13.3000,13.3000,13.3000,13.3000,0,0
QL3,IS ASIA HYG S$D,D,20120705,13.3000,13.3000,13.3000,13.3000,0,0
QL3,IS ASIA HYG S$D,D,20120706,13.3000,13.3000,13.3000,13.3000,0,0
QL3,IS ASIA HYG S$D,D,20120709,13.3000,13.3000,13.3000,13.3000,0,0
QL3,IS ASIA HYG S$D,D,20120710,13.5200,13.5200,13.5100,13.5100,1500,0
QL3,IS ASIA HYG S$D,D,20120711,13.5100,13.5100,13.5100,13.5100,0,0
QL3,IS ASIA HYG S$D,D,20120712,13.5100,13.5100,13.5100,13.5100,0,0
QL3,IS ASIA HYG S$D,D,20120713,13.5100,13.5100,13.5100,13.5100,0,0
QL3,IS ASIA HYG S$D,D,20120716,13.4800,13.4800,13.4800,13.4800,1000,0
QL3,IS ASIA HYG S$D,D,20120717,13.4800,13.4800,13.4800,13.4800,0,0
QL3,IS ASIA HYG S$D,D,20120718,13.4800,13.4800,13.4800,13.4800,0,0
QL3,IS ASIA HYG S$D,D,20120719,13.5400,13.6000,13.5400,13.6000,3000,0
QL3,IS ASIA HYG S$D,D,20120720,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20120723,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20120724,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20120725,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20120726,13.6300,13.6300,13.6300,13.6300,600,0
QL3,IS ASIA HYG S$D,D,20120727,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120730,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120731,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120801,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120802,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120803,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120806,13.6400,13.6400,13.6400,13.6400,1000,0
QL3,IS ASIA HYG S$D,D,20120807,13.6300,13.6300,13.6300,13.6300,1500,0
QL3,IS ASIA HYG S$D,D,20120808,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120810,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120813,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120814,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120815,13.6300,13.6300,13.6300,13.6300,0,0
QL3,IS ASIA HYG S$D,D,20120816,13.6300,13.6300,13.6300,13.6300,58000,0
QL3,IS ASIA HYG S$D,D,20120817,13.6600,13.6700,13.6600,13.6700,400,0
QL3,IS ASIA HYG S$D,D,20120821,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120822,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120823,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120824,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120827,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120828,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120829,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120830,13.6700,13.6700,13.6700,13.6700,0,0
QL3,IS ASIA HYG S$D,D,20120831,13.7700,13.7700,13.7700,13.7700,1000,0
QL3,IS ASIA HYG S$D,D,20120903,13.3500,13.3500,13.3500,13.3500,500,0
QL3,IS ASIA HYG S$D,D,20120904,13.3500,13.3500,13.3500,13.3500,0,0
QL3,IS ASIA HYG S$D,D,20120905,13.3500,13.3500,13.3500,13.3500,0,0
QL3,IS ASIA HYG S$D,D,20120906,13.3800,13.3800,13.3800,13.3800,1100,0
QL3,IS ASIA HYG S$D,D,20120907,13.3800,13.3800,13.3800,13.3800,0,0
QL3,IS ASIA HYG S$D,D,20120910,13.3800,13.3800,13.3800,13.3800,0,0
QL3,IS ASIA HYG S$D,D,20120911,13.3800,13.3800,13.3800,13.3800,0,0
QL3,IS ASIA HYG S$D,D,20120912,13.3500,13.3500,13.3500,13.3500,1000,0
QL3,IS ASIA HYG S$D,D,20120913,13.3500,13.3500,13.3500,13.3500,0,0
QL3,IS ASIA HYG S$D,D,20120914,13.3200,13.3200,13.3200,13.3200,700,0
QL3,IS ASIA HYG S$D,D,20120917,13.3200,13.3200,13.3200,13.3200,0,0
QL3,IS ASIA HYG S$D,D,20120918,13.4500,13.4500,13.4500,13.4500,1000,0
QL3,IS ASIA HYG S$D,D,20120919,13.4500,13.4500,13.4500,13.4500,0,0
QL3,IS ASIA HYG S$D,D,20120920,13.4500,13.4500,13.4500,13.4500,0,0
QL3,IS ASIA HYG S$D,D,20120921,13.4700,13.4700,13.4700,13.4700,1000,0
QL3,IS ASIA HYG S$D,D,20120924,13.5100,13.5100,13.5100,13.5100,1200,0
QL3,IS ASIA HYG S$D,D,20120925,13.4800,13.4800,13.3700,13.3700,2000,0
QL3,IS ASIA HYG S$D,D,20120926,13.4100,13.4100,13.4100,13.4100,1500,0
QL3,IS ASIA HYG S$D,D,20120927,13.4100,13.4100,13.4100,13.4100,0,0
QL3,IS ASIA HYG S$D,D,20120928,13.3800,13.3800,13.3800,13.3800,500,0
QL3,IS ASIA HYG S$D,D,20121001,13.4600,13.4600,13.4600,13.4600,500,0
QL3,IS ASIA HYG S$D,D,20121002,13.4600,13.4600,13.4600,13.4600,0,0
QL3,IS ASIA HYG S$D,D,20121003,13.4600,13.4600,13.4600,13.4600,0,0
QL3,IS ASIA HYG S$D,D,20121004,13.5300,13.5300,13.5300,13.5300,1000,0
QL3,IS ASIA HYG S$D,D,20121005,13.5500,13.5700,13.5500,13.5700,1000,0
QL3,IS ASIA HYG S$D,D,20121008,13.5700,13.5700,13.5700,13.5700,0,0
QL3,IS ASIA HYG S$D,D,20121009,13.6100,13.6100,13.6100,13.6100,500,0
QL3,IS ASIA HYG S$D,D,20121010,13.6100,13.6100,13.6100,13.6100,0,0
QL3,IS ASIA HYG S$D,D,20121011,13.6900,13.6900,13.6900,13.6900,100,0
QL3,IS ASIA HYG S$D,D,20121012,13.6400,13.6400,13.6200,13.6200,4600,0
QL3,IS ASIA HYG S$D,D,20121015,13.6600,13.6600,13.6600,13.6600,100,0
QL3,IS ASIA HYG S$D,D,20121016,13.6600,13.6600,13.6600,13.6600,0,0
QL3,IS ASIA HYG S$D,D,20121017,13.6100,13.6300,13.6100,13.6300,3700,0
QL3,IS ASIA HYG S$D,D,20121018,13.6000,13.6000,13.6000,13.6000,300,0
QL3,IS ASIA HYG S$D,D,20121019,13.5500,13.5500,13.4900,13.4900,1700,0
QL3,IS ASIA HYG S$D,D,20121022,13.4900,13.4900,13.4900,13.4900,0,0
QL3,IS ASIA HYG S$D,D,20121023,13.5600,13.5600,13.5500,13.5600,2300,0
QL3,IS ASIA HYG S$D,D,20121024,13.6000,13.6000,13.6000,13.6000,1500,0
QL3,IS ASIA HYG S$D,D,20121025,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121029,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121030,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121031,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121101,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121102,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121105,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121106,13.6000,13.6000,13.6000,13.6000,0,0
QL3,IS ASIA HYG S$D,D,20121107,13.7100,13.7100,13.7100,13.7100,100,0
QL3,IS ASIA HYG S$D,D,20121108,13.7100,13.7100,13.7100,13.7100,0,0
QL3,IS ASIA HYG S$D,D,20121109,13.7100,13.7100,13.7100,13.7100,0,0
QL3,IS ASIA HYG S$D,D,20121112,13.7100,13.7100,13.7100,13.7100,0,0
QL3,IS ASIA HYG S$D,D,20121114,13.7100,13.7100,13.7100,13.7100,400,0
QL3,IS ASIA HYG S$D,D,20121115,13.7100,13.7100,13.7100,13.7100,0,0
QL3,IS ASIA HYG S$D,D,20121116,13.6000,13.6000,13.6000,13.6000,1000,0
QL3,IS ASIA HYG S$D,D,20121119,13.7000,13.7000,13.7000,13.7000,500,0
QL3,IS ASIA HYG S$D,D,20121120,13.7000,13.7000,13.7000,13.7000,500,0
QL3,IS ASIA HYG S$D,D,20121121,13.7200,13.7200,13.7200,13.7200,1000,0
QL3,IS ASIA HYG S$D,D,20121122,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121123,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121126,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121127,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121128,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121129,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121130,13.7200,13.7200,13.7200,13.7200,0,0
QL3,IS ASIA HYG S$D,D,20121203,13.8900,13.8900,13.5400,13.5400,2800,0
QL3,IS ASIA HYG S$D,D,20121204,13.5400,13.5400,13.5400,13.5400,0,0
QL3,IS ASIA HYG S$D,D,20121205,13.5400,13.5400,13.5400,13.5400,0,0
QL3,IS ASIA HYG S$D,D,20121206,13.6400,13.6400,13.6400,13.6400,100,0
QL3,IS ASIA HYG S$D,D,20121207,13.4800,13.4800,13.2500,13.4300,12300,0
QL3,IS ASIA HYG S$D,D,20121210,13.5000,13.6200,13.5000,13.6200,4000,0
QL3,IS ASIA HYG S$D,D,20121211,13.6200,13.6200,13.6200,13.6200,0,0
QL3,IS ASIA HYG S$D,D,20121212,13.5900,13.6300,13.5900,13.6300,3500,0
