<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
P60,Lyxor Asia US$,D,20061019,3.6000,3.6000,3.5800,3.5800,9000,0
P60,Lyxor Asia US$,D,20061020,3.6000,3.6400,3.6000,3.6400,2700,0
P60,Lyxor Asia US$,D,20061023,3.6200,3.6200,3.6000,3.6000,15100,0
P60,Lyxor Asia US$,D,20061025,3.6200,3.6200,3.6200,3.6200,740,0
P60,Lyxor Asia US$,D,20061026,3.6200,3.6200,3.6200,3.6200,0,0
P60,Lyxor Asia US$,D,20061027,3.6200,3.6200,3.6200,3.6200,0,0
P60,Lyxor Asia US$,D,20061030,3.6200,3.6200,3.6200,3.6200,0,0
P60,Lyxor Asia US$,D,20061031,3.6200,3.6200,3.6200,3.6200,0,0
P60,Lyxor Asia US$,D,20061101,3.7000,3.7000,3.6800,3.6800,2000,0
P60,Lyxor Asia US$,D,20061102,3.6800,3.6800,3.6800,3.6800,0,0
P60,Lyxor Asia US$,D,20061103,3.7200,3.7200,3.7200,3.7200,3100,0
P60,Lyxor Asia US$,D,20061106,3.7200,3.7200,3.7200,3.7200,50,0
P60,Lyxor Asia US$,D,20061107,3.7600,3.7600,3.7600,3.7600,8100,0
P60,Lyxor Asia US$,D,20061108,3.7400,3.7400,3.7400,3.7400,3000,0
P60,Lyxor Asia US$,D,20061109,3.7400,3.7400,3.7400,3.7400,1800,0
P60,Lyxor Asia US$,D,20061110,3.7400,3.7400,3.7400,3.7400,0,0
P60,Lyxor Asia US$,D,20061113,3.7400,3.7600,3.7400,3.7600,4130,0
P60,Lyxor Asia US$,D,20061114,3.7600,3.7600,3.7600,3.7600,1900,0
P60,Lyxor Asia US$,D,20061115,3.7600,3.7600,3.7600,3.7600,0,0
P60,Lyxor Asia US$,D,20061116,3.7600,3.7600,3.7600,3.7600,0,0
P60,Lyxor Asia US$,D,20061117,3.7600,3.7600,3.7600,3.7600,0,0
P60,Lyxor Asia US$,D,20061120,3.7800,3.7800,3.7800,3.7800,930,0
