<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
H1N,Lyxor EM Mkt US$,D,20090512,0.0000,0.0000,0.0000,0.0000,0,0
H1N,Lyxor EM Mkt US$,D,20090513,7.3900,7.3900,7.3600,7.3600,1120,0
H1N,Lyxor EM Mkt US$,D,20090514,7.0600,7.0600,7.0600,7.0600,1900,0
H1N,Lyxor EM Mkt US$,D,20090515,7.1700,7.1800,7.1700,7.1800,1200,0
H1N,Lyxor EM Mkt US$,D,20090518,7.1200,7.1200,7.1200,7.1200,30,0
H1N,Lyxor EM Mkt US$,D,20090519,7.1200,7.1200,7.1200,7.1200,0,0
H1N,Lyxor EM Mkt US$,D,20090520,7.5800,7.5800,7.5800,7.5800,4000,0
H1N,Lyxor EM Mkt US$,D,20090521,7.5800,7.5800,7.5800,7.5800,0,0
H1N,Lyxor EM Mkt US$,D,20090522,7.5400,7.5400,7.5100,7.5100,500,0
H1N,Lyxor EM Mkt US$,D,20090525,7.5000,7.5600,7.5000,7.5600,1150,0
H1N,Lyxor EM Mkt US$,D,20090526,7.5200,7.5200,7.5000,7.5000,2500,0
H1N,Lyxor EM Mkt US$,D,20090527,7.6300,7.6300,7.6300,7.6300,1000,0
H1N,Lyxor EM Mkt US$,D,20090528,7.6300,7.6300,7.6300,7.6300,0,0
H1N,Lyxor EM Mkt US$,D,20090529,7.7500,7.7500,7.7500,7.7500,500,0
H1N,Lyxor EM Mkt US$,D,20090601,7.9300,7.9300,7.9300,7.9300,2000,0
H1N,Lyxor EM Mkt US$,D,20090602,8.1500,8.1500,8.1500,8.1500,700,0
H1N,Lyxor EM Mkt US$,D,20090603,8.1400,8.1400,8.1400,8.1400,700,0
H1N,Lyxor EM Mkt US$,D,20090604,7.9100,7.9100,7.9100,7.9100,370,0
H1N,Lyxor EM Mkt US$,D,20090605,7.9600,7.9600,7.9500,7.9500,1100,0
H1N,Lyxor EM Mkt US$,D,20090608,7.9400,7.9400,7.9000,7.9000,1200,0
H1N,Lyxor EM Mkt US$,D,20090609,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090610,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090611,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090612,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090615,7.9000,7.9000,7.9000,7.9000,120,0
H1N,Lyxor EM Mkt US$,D,20090616,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090617,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090618,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090619,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090622,7.9000,7.9000,7.9000,7.9000,0,0
H1N,Lyxor EM Mkt US$,D,20090623,7.4000,7.4000,7.3000,7.3000,2720,0
H1N,Lyxor EM Mkt US$,D,20090624,7.3000,7.3000,7.3000,7.3000,0,0
H1N,Lyxor EM Mkt US$,D,20090625,7.6000,7.6000,7.6000,7.6000,300,0
H1N,Lyxor EM Mkt US$,D,20090626,7.6000,7.6000,7.6000,7.6000,0,0
H1N,Lyxor EM Mkt US$,D,20090629,7.6000,7.6000,7.6000,7.6000,0,0
H1N,Lyxor EM Mkt US$,D,20090630,7.8300,7.8300,7.8300,7.8300,250,0
H1N,Lyxor EM Mkt US$,D,20090701,7.8300,7.8300,7.8300,7.8300,0,0
H1N,Lyxor EM Mkt US$,D,20090702,7.8300,7.8300,7.8300,7.8300,0,0
H1N,Lyxor EM Mkt US$,D,20090703,7.7700,7.7700,7.7700,7.7700,200,0
H1N,Lyxor EM Mkt US$,D,20090706,7.7700,7.7700,7.7700,7.7700,0,0
H1N,Lyxor EM Mkt US$,D,20090707,7.6500,7.6500,7.6500,7.6500,200,0
H1N,Lyxor EM Mkt US$,D,20090708,7.5900,7.5900,7.5900,7.5900,100,0
H1N,Lyxor EM Mkt US$,D,20090709,7.5500,7.5500,7.5500,7.5500,800,0
H1N,Lyxor EM Mkt US$,D,20090710,7.5500,7.5500,7.5500,7.5500,0,0
H1N,Lyxor EM Mkt US$,D,20090713,7.3300,7.3300,7.3300,7.3300,200,0
H1N,Lyxor EM Mkt US$,D,20090714,7.3300,7.3300,7.3300,7.3300,0,0
