<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
JC5,Lyxor Europe US$,D,20091021,13.0200,13.0200,13.0200,13.0200,400,0
JC5,Lyxor Europe US$,D,20091022,13.0200,13.0200,13.0200,13.0200,0,0
JC5,Lyxor Europe US$,D,20091023,13.1000,13.1100,13.1000,13.1100,38230,0
JC5,Lyxor Europe US$,D,20091026,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091027,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091028,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091029,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091030,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091102,13.1100,13.1100,13.1100,13.1100,0,0
JC5,Lyxor Europe US$,D,20091103,12.3600,12.3600,12.3200,12.3200,23500,0
JC5,Lyxor Europe US$,D,20091104,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091105,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091106,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091109,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091110,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091111,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091112,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091113,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091116,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091117,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091118,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091119,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091120,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091123,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091124,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091125,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091126,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091130,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091201,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091202,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091203,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091204,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091207,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091208,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091209,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091210,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091211,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091214,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091215,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091216,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091217,12.3200,12.3200,12.3200,12.3200,0,0
JC5,Lyxor Europe US$,D,20091218,12.4700,12.4700,12.4700,12.4700,100,0
JC5,Lyxor Europe US$,D,20091221,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091222,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091223,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091224,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091228,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091229,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091230,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20091231,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20100104,12.4700,12.4700,12.4700,12.4700,0,0
JC5,Lyxor Europe US$,D,20100105,13.0700,13.0700,13.0700,13.0700,14630,0
JC5,Lyxor Europe US$,D,20100106,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100107,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100108,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100111,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100112,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100113,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100114,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100115,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100118,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100119,13.0700,13.0700,13.0700,13.0700,0,0
JC5,Lyxor Europe US$,D,20100120,12.9100,12.9200,12.9100,12.9200,10550,0
JC5,Lyxor Europe US$,D,20100121,12.9200,12.9200,12.9200,12.9200,0,0
JC5,Lyxor Europe US$,D,20100122,12.3500,12.3500,12.3500,12.3500,500,0
JC5,Lyxor Europe US$,D,20100125,12.3800,12.3800,12.3600,12.3620,9500,0
JC5,Lyxor Europe US$,D,20100126,12.3600,12.3600,12.3600,12.3600,0,0
JC5,Lyxor Europe US$,D,20100127,12.3600,12.3600,12.3600,12.3600,0,0
JC5,Lyxor Europe US$,D,20100128,12.3200,12.3200,12.3200,12.3200,500,0
JC5,Lyxor Europe US$,D,20100129,11.9000,11.9000,11.9000,11.9000,300,0
JC5,Lyxor Europe US$,D,20100201,11.9000,11.9000,11.9000,11.9000,0,0
JC5,Lyxor Europe US$,D,20100202,11.9000,11.9000,11.9000,11.9000,0,0
JC5,Lyxor Europe US$,D,20100203,11.9000,11.9000,11.9000,11.9000,0,0
JC5,Lyxor Europe US$,D,20100204,12.1000,12.1200,12.1000,12.1200,20000,0
JC5,Lyxor Europe US$,D,20100205,12.1200,12.1200,12.1200,12.1200,0,0
JC5,Lyxor Europe US$,D,20100208,12.1200,12.1200,12.1200,12.1200,0,0
JC5,Lyxor Europe US$,D,20100209,11.4300,11.4300,11.4100,11.4100,20000,0
JC5,Lyxor Europe US$,D,20100210,11.6300,11.6400,11.6290,11.6400,10950,0
