<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
CW4,Lyxor Japan US$,D,20070830,1.3700,1.3800,1.3700,1.3700,12300,0
CW4,Lyxor Japan US$,D,20070831,1.3800,1.4100,1.3800,1.4000,5000,0
CW4,Lyxor Japan US$,D,20070903,1.4000,1.4000,1.3900,1.3900,16000,0
CW4,Lyxor Japan US$,D,20070904,1.3900,1.3900,1.3800,1.3800,19600,0
CW4,Lyxor Japan US$,D,20070905,1.3700,1.3800,1.3600,1.3600,31500,0
CW4,Lyxor Japan US$,D,20070906,1.3500,1.3500,1.3500,1.3500,2000,0
CW4,Lyxor Japan US$,D,20070907,1.3600,1.3600,1.3600,1.3600,30000,0
CW4,Lyxor Japan US$,D,20070910,1.3400,1.3600,1.3400,1.3600,6000,0
CW4,Lyxor Japan US$,D,20070911,1.3300,1.3500,1.3300,1.3500,12400,0
CW4,Lyxor Japan US$,D,20070912,1.3500,1.3500,1.3500,1.3500,16000,0
CW4,Lyxor Japan US$,D,20070913,1.3500,1.3500,1.3400,1.3400,27950,0
CW4,Lyxor Japan US$,D,20070914,1.3400,1.3500,1.3400,1.3400,131100,0
CW4,Lyxor Japan US$,D,20070917,1.3500,1.3500,1.3500,1.3500,100,0
CW4,Lyxor Japan US$,D,20070918,1.3200,1.3200,1.3200,1.3200,14950,0
CW4,Lyxor Japan US$,D,20070919,1.3500,1.3500,1.3500,1.3500,20000,0
CW4,Lyxor Japan US$,D,20070920,1.3500,1.3500,1.3500,1.3500,0,0
CW4,Lyxor Japan US$,D,20070921,1.3500,1.3500,1.3500,1.3500,2500,0
CW4,Lyxor Japan US$,D,20070924,1.3500,1.3500,1.3500,1.3500,7250,0
CW4,Lyxor Japan US$,D,20070925,1.3500,1.3500,1.3500,1.3500,0,0
CW4,Lyxor Japan US$,D,20070926,1.3700,1.3700,1.3700,1.3700,600,0
CW4,Lyxor Japan US$,D,20070927,1.4000,1.4100,1.4000,1.4100,2000,0
CW4,Lyxor Japan US$,D,20070928,1.4200,1.4200,1.4100,1.4100,5100,0
CW4,Lyxor Japan US$,D,20071001,1.4300,1.4300,1.4200,1.4200,33800,0
CW4,Lyxor Japan US$,D,20071002,1.4300,1.4300,1.4300,1.4300,8000,0
CW4,Lyxor Japan US$,D,20071003,1.4300,1.4300,1.4300,1.4300,0,0
CW4,Lyxor Japan US$,D,20071004,1.4300,1.4300,1.4300,1.4300,3000,0
CW4,Lyxor Japan US$,D,20071005,1.4300,1.4300,1.4300,1.4300,0,0
CW4,Lyxor Japan US$,D,20071008,1.4400,1.4400,1.4400,1.4400,21640,0
CW4,Lyxor Japan US$,D,20071009,1.4400,1.4400,1.4200,1.4300,13000,0
CW4,Lyxor Japan US$,D,20071010,1.4300,1.4300,1.4300,1.4300,17600,0
CW4,Lyxor Japan US$,D,20071011,1.4300,1.4300,1.4300,1.4300,2000,0
CW4,Lyxor Japan US$,D,20071012,1.4300,1.4300,1.4300,1.4300,1000,0
CW4,Lyxor Japan US$,D,20071015,1.4300,1.4300,1.4200,1.4200,4000,0
CW4,Lyxor Japan US$,D,20071016,1.4200,1.4200,1.4000,1.4000,15000,0
CW4,Lyxor Japan US$,D,20071017,1.3900,1.3900,1.3800,1.3800,5950,0
CW4,Lyxor Japan US$,D,20071018,1.3800,1.3800,1.3800,1.3800,0,0
CW4,Lyxor Japan US$,D,20071019,1.3900,1.3900,1.3900,1.3900,11100,0
CW4,Lyxor Japan US$,D,20071022,1.3700,1.3800,1.3700,1.3800,6500,0
CW4,Lyxor Japan US$,D,20071023,1.3800,1.3800,1.3800,1.3800,0,0
CW4,Lyxor Japan US$,D,20071024,1.3800,1.3800,1.3800,1.3800,25050,0
CW4,Lyxor Japan US$,D,20071025,1.3800,1.3800,1.3800,1.3800,0,0
CW4,Lyxor Japan US$,D,20071026,1.3800,1.3800,1.3800,1.3800,0,0
CW4,Lyxor Japan US$,D,20071029,1.3800,1.3800,1.3800,1.3800,0,0
CW4,Lyxor Japan US$,D,20071030,1.4000,1.4200,1.4000,1.4200,12550,0
CW4,Lyxor Japan US$,D,20071031,1.4200,1.4200,1.4200,1.4200,0,0
CW4,Lyxor Japan US$,D,20071101,1.4300,1.4300,1.4300,1.4300,20000,0
CW4,Lyxor Japan US$,D,20071102,1.4300,1.4300,1.4300,1.4300,0,0
CW4,Lyxor Japan US$,D,20071105,1.4000,1.4000,1.3900,1.3900,4000,0
CW4,Lyxor Japan US$,D,20071106,1.3900,1.3900,1.3900,1.3900,0,0
CW4,Lyxor Japan US$,D,20071107,1.3800,1.3900,1.3800,1.3900,7000,0
CW4,Lyxor Japan US$,D,20071109,1.3600,1.3600,1.3300,1.3300,12800,0
CW4,Lyxor Japan US$,D,20071112,1.3300,1.3300,1.3200,1.3200,7000,0
CW4,Lyxor Japan US$,D,20071113,1.3400,1.3400,1.3200,1.3200,7000,0
CW4,Lyxor Japan US$,D,20071114,1.3500,1.3500,1.3500,1.3500,9000,0
CW4,Lyxor Japan US$,D,20071115,1.3500,1.3500,1.3500,1.3500,0,0
CW4,Lyxor Japan US$,D,20071116,1.3500,1.3500,1.3500,1.3500,0,0
CW4,Lyxor Japan US$,D,20071119,1.3300,1.3300,1.3300,1.3300,100,0
CW4,Lyxor Japan US$,D,20071120,1.3300,1.3300,1.3300,1.3300,0,0
CW4,Lyxor Japan US$,D,20071121,1.3300,1.3300,1.3300,1.3300,0,0
CW4,Lyxor Japan US$,D,20071122,1.3300,1.3300,1.3300,1.3300,600,0
CW4,Lyxor Japan US$,D,20071123,1.3300,1.3300,1.3300,1.3300,0,0
