<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
H1P,Lyxor World US$,D,20090512,0.0000,0.0000,0.0000,0.0000,0,0
H1P,Lyxor World US$,D,20090513,0.9670,0.9670,0.9670,0.9670,5000,0
H1P,Lyxor World US$,D,20090514,0.9670,0.9670,0.9670,0.9670,0,0
H1P,Lyxor World US$,D,20090515,0.9670,0.9670,0.9670,0.9670,0,0
H1P,Lyxor World US$,D,20090518,0.9670,0.9670,0.9670,0.9670,0,0
H1P,Lyxor World US$,D,20090519,0.9670,0.9670,0.9670,0.9670,0,0
H1P,Lyxor World US$,D,20090520,0.9670,0.9670,0.9670,0.9670,0,0
H1P,Lyxor World US$,D,20090521,0.9700,0.9700,0.9700,0.9700,30,0
H1P,Lyxor World US$,D,20090522,0.9630,0.9630,0.9630,0.9630,1500,0
H1P,Lyxor World US$,D,20090525,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090526,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090527,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090528,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090529,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090601,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090602,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090603,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090604,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090605,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090608,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090609,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090610,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090611,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090612,0.9630,0.9630,0.9630,0.9630,0,0
H1P,Lyxor World US$,D,20090615,1.0190,1.0190,1.0190,1.0190,4000,0
H1P,Lyxor World US$,D,20090616,1.0190,1.0190,1.0190,1.0190,0,0
H1P,Lyxor World US$,D,20090617,1.0190,1.0190,1.0190,1.0190,0,0
H1P,Lyxor World US$,D,20090618,1.0190,1.0190,1.0190,1.0190,0,0
H1P,Lyxor World US$,D,20090619,1.0190,1.0190,1.0190,1.0190,0,0
H1P,Lyxor World US$,D,20090622,1.0200,1.0200,0.9900,0.9900,5000,0
H1P,Lyxor World US$,D,20090623,0.9900,0.9900,0.9900,0.9900,0,0
H1P,Lyxor World US$,D,20090624,0.9900,0.9900,0.9900,0.9900,0,0
H1P,Lyxor World US$,D,20090625,0.9900,0.9900,0.9900,0.9900,0,0
H1P,Lyxor World US$,D,20090626,0.9900,0.9900,0.9900,0.9900,0,0
H1P,Lyxor World US$,D,20090629,0.9890,0.9890,0.9890,0.9890,150,0
H1P,Lyxor World US$,D,20090630,0.9890,0.9890,0.9890,0.9890,0,0
H1P,Lyxor World US$,D,20090701,0.9890,0.9890,0.9890,0.9890,3000,0
H1P,Lyxor World US$,D,20090702,0.9890,0.9890,0.9890,0.9890,0,0
H1P,Lyxor World US$,D,20090703,0.9890,0.9890,0.9890,0.9890,0,0
H1P,Lyxor World US$,D,20090706,0.9890,0.9890,0.9890,0.9890,0,0
H1P,Lyxor World US$,D,20090707,0.9890,0.9890,0.9890,0.9890,0,0
H1P,Lyxor World US$,D,20090708,0.9520,0.9520,0.9520,0.9520,2370,0
H1P,Lyxor World US$,D,20090709,0.9520,0.9520,0.9520,0.9520,0,0
H1P,Lyxor World US$,D,20090710,0.9520,0.9520,0.9520,0.9520,0,0
H1P,Lyxor World US$,D,20090713,0.9530,0.9530,0.9480,0.9480,7650,0
H1P,Lyxor World US$,D,20090714,0.9480,0.9480,0.9480,0.9480,0,0
H1P,Lyxor World US$,D,20090715,0.9480,0.9480,0.9480,0.9480,0,0
H1P,Lyxor World US$,D,20090716,0.9480,0.9480,0.9480,0.9480,0,0
H1P,Lyxor World US$,D,20090717,0.9480,0.9480,0.9480,0.9480,0,0
H1P,Lyxor World US$,D,20090720,1.0120,1.0120,1.0120,1.0120,11160,0
H1P,Lyxor World US$,D,20090721,1.0290,1.0290,1.0290,1.0290,1000,0
H1P,Lyxor World US$,D,20090722,1.0330,1.0330,1.0300,1.0300,5500,0
H1P,Lyxor World US$,D,20090723,1.0340,1.0340,1.0340,1.0340,2000,0
H1P,Lyxor World US$,D,20090724,1.0340,1.0340,1.0340,1.0340,0,0
H1P,Lyxor World US$,D,20090727,1.0340,1.0340,1.0340,1.0340,0,0
H1P,Lyxor World US$,D,20090728,1.0340,1.0340,1.0340,1.0340,0,0
H1P,Lyxor World US$,D,20090729,1.0340,1.0340,1.0340,1.0340,0,0
