<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
G3B,Nikko AM STI ETF,D,20090225,1.6600,1.6700,1.6400,1.6700,141400,0
G3B,Nikko AM STI ETF,D,20090226,1.6500,1.6500,1.6300,1.6300,44000,0
G3B,Nikko AM STI ETF,D,20090227,1.6300,1.6300,1.6200,1.6200,52200,0
G3B,Nikko AM STI ETF,D,20090302,1.6200,1.6200,1.5600,1.5600,22900,0
G3B,Nikko AM STI ETF,D,20090303,1.5600,1.5600,1.5500,1.5500,101400,0
G3B,Nikko AM STI ETF,D,20090304,1.5500,1.5500,1.5500,1.5500,0,0
G3B,Nikko AM STI ETF,D,20090305,1.5800,1.5800,1.5400,1.5400,20400,0
G3B,Nikko AM STI ETF,D,20090306,1.5300,1.5300,1.5300,1.5300,10300,0
G3B,Nikko AM STI ETF,D,20090309,1.5100,1.5100,1.4900,1.4900,42400,0
G3B,Nikko AM STI ETF,D,20090310,1.4900,1.4900,1.4900,1.4900,5900,0
G3B,Nikko AM STI ETF,D,20090311,1.5200,1.5400,1.5200,1.5400,6700,0
G3B,Nikko AM STI ETF,D,20090312,1.5400,1.5400,1.5400,1.5400,0,0
G3B,Nikko AM STI ETF,D,20090313,1.5500,1.5700,1.5500,1.5700,21000,0
G3B,Nikko AM STI ETF,D,20090316,1.5700,1.5700,1.5700,1.5700,0,0
G3B,Nikko AM STI ETF,D,20090317,1.6000,1.6000,1.5800,1.5800,10500,0
G3B,Nikko AM STI ETF,D,20090318,1.5900,1.5900,1.5900,1.5900,100000,0
G3B,Nikko AM STI ETF,D,20090319,1.6000,1.6000,1.5900,1.6000,70000,0
G3B,Nikko AM STI ETF,D,20090320,1.6000,1.6000,1.6000,1.6000,10000,0
G3B,Nikko AM STI ETF,D,20090323,1.6300,1.6600,1.6300,1.6600,64000,0
G3B,Nikko AM STI ETF,D,20090324,1.7300,1.7300,1.6900,1.7100,127800,0
G3B,Nikko AM STI ETF,D,20090325,1.7100,1.7100,1.6900,1.7000,11100,0
G3B,Nikko AM STI ETF,D,20090326,1.7300,1.7700,1.7300,1.7700,29400,0
G3B,Nikko AM STI ETF,D,20090327,1.7800,1.7800,1.7400,1.7600,17200,0
G3B,Nikko AM STI ETF,D,20090330,1.7400,1.7400,1.6800,1.6800,7000,0
G3B,Nikko AM STI ETF,D,20090331,1.6700,1.7200,1.6700,1.7100,18200,0
G3B,Nikko AM STI ETF,D,20090401,1.7100,1.7200,1.7100,1.7200,4300,0
G3B,Nikko AM STI ETF,D,20090402,1.7500,1.8000,1.7500,1.8000,125000,0
G3B,Nikko AM STI ETF,D,20090403,1.8200,1.8300,1.8000,1.8100,77800,0
G3B,Nikko AM STI ETF,D,20090406,1.8300,1.8300,1.8300,1.8300,11000,0
G3B,Nikko AM STI ETF,D,20090407,1.8200,1.8200,1.7900,1.7900,2200,0
G3B,Nikko AM STI ETF,D,20090408,1.7700,1.7800,1.7700,1.7800,2400,0
G3B,Nikko AM STI ETF,D,20090409,1.8200,1.8400,1.8200,1.8400,8000,0
G3B,Nikko AM STI ETF,D,20090413,1.8800,1.8900,1.8700,1.8800,28300,0
G3B,Nikko AM STI ETF,D,20090414,1.8700,1.8900,1.8700,1.8700,42300,0
G3B,Nikko AM STI ETF,D,20090415,1.8600,1.9000,1.8600,1.8900,23200,0
G3B,Nikko AM STI ETF,D,20090416,1.9400,1.9500,1.9000,1.9000,28200,0
G3B,Nikko AM STI ETF,D,20090417,1.9500,1.9500,1.9000,1.9000,22700,0
G3B,Nikko AM STI ETF,D,20090420,1.9000,1.9000,1.8900,1.8900,4500,0
G3B,Nikko AM STI ETF,D,20090421,1.8900,1.8900,1.8900,1.8900,0,0
G3B,Nikko AM STI ETF,D,20090422,1.8800,1.8800,1.8400,1.8400,25000,0
G3B,Nikko AM STI ETF,D,20090423,1.8500,1.8500,1.8500,1.8500,40000,0
G3B,Nikko AM STI ETF,D,20090424,1.8500,1.8500,1.8500,1.8500,16000,0
G3B,Nikko AM STI ETF,D,20090427,1.8600,1.8600,1.8200,1.8300,24100,0
G3B,Nikko AM STI ETF,D,20090428,1.8300,1.8300,1.8000,1.8100,56900,0
G3B,Nikko AM STI ETF,D,20090429,1.8000,1.8500,1.8000,1.8500,11500,0
G3B,Nikko AM STI ETF,D,20090430,1.8700,1.9100,1.8700,1.9000,26000,0
G3B,Nikko AM STI ETF,D,20090504,1.9300,2.0300,1.9300,2.0200,55400,0
G3B,Nikko AM STI ETF,D,20090505,2.0600,2.0900,2.0500,2.0800,92700,0
G3B,Nikko AM STI ETF,D,20090506,2.0800,2.1900,2.0800,2.1900,87900,0
G3B,Nikko AM STI ETF,D,20090507,2.2200,2.2700,2.2200,2.2500,95600,0
G3B,Nikko AM STI ETF,D,20090508,2.2600,2.3000,2.2200,2.2900,61600,0
G3B,Nikko AM STI ETF,D,20090511,2.3200,2.3200,2.2000,2.2000,35700,0
G3B,Nikko AM STI ETF,D,20090512,2.1800,2.2100,2.1700,2.2000,148200,0
G3B,Nikko AM STI ETF,D,20090513,2.2100,2.2300,2.2100,2.2200,12800,0
G3B,Nikko AM STI ETF,D,20090514,2.1800,2.1800,2.1400,2.1400,261000,0
