<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
S27,SPDR S&P500 US$,D,20010504,125.5000,125.5000,125.3000,125.4000,20060,0
S27,SPDR S&P500 US$,D,20010508,126.4000,126.4000,126.3000,126.4000,11650,0
S27,SPDR S&P500 US$,D,20010509,126.0000,126.0000,125.8000,125.8000,10860,0
S27,SPDR S&P500 US$,D,20010510,125.9000,126.5000,125.9000,126.5000,5000,0
S27,SPDR S&P500 US$,D,20010511,126.1000,126.5000,126.1000,126.5000,4980,0
S27,SPDR S&P500 US$,D,20010514,125.2000,125.2000,125.1000,125.1000,50,0
S27,SPDR S&P500 US$,D,20010515,125.1000,125.1000,125.1000,125.1000,0,0
S27,SPDR S&P500 US$,D,20010516,125.6000,125.6000,125.6000,125.6000,10,0
S27,SPDR S&P500 US$,D,20010517,129.2000,129.5000,129.2000,129.5000,10060,0
S27,SPDR S&P500 US$,D,20010518,129.3000,129.3000,129.2000,129.2000,10400,0
S27,SPDR S&P500 US$,D,20010521,129.2000,129.2000,129.2000,129.2000,0,0
S27,SPDR S&P500 US$,D,20010522,131.4000,131.5000,131.4000,131.5000,90,0
S27,SPDR S&P500 US$,D,20010523,131.5000,131.5000,131.5000,131.5000,0,0
S27,SPDR S&P500 US$,D,20010524,129.6000,129.6000,129.6000,129.6000,60,0
S27,SPDR S&P500 US$,D,20010525,129.6000,129.6000,129.6000,129.6000,0,0
S27,SPDR S&P500 US$,D,20010528,129.6000,129.6000,129.6000,129.6000,0,0
S27,SPDR S&P500 US$,D,20010529,128.4000,128.4000,128.4000,128.4000,10,0
S27,SPDR S&P500 US$,D,20010530,127.3000,127.3000,127.3000,127.3000,10,0
S27,SPDR S&P500 US$,D,20010531,127.3000,127.3000,127.3000,127.3000,0,0
S27,SPDR S&P500 US$,D,20010601,125.7000,125.7000,125.7000,125.7000,5000,0
S27,SPDR S&P500 US$,D,20010604,126.8000,126.8000,126.8000,126.8000,10,0
S27,SPDR S&P500 US$,D,20010605,126.8000,126.8000,126.8000,126.8000,0,0
S27,SPDR S&P500 US$,D,20010606,129.0000,129.0000,129.0000,129.0000,10000,0
S27,SPDR S&P500 US$,D,20010607,127.5000,127.5000,127.5000,127.5000,10000,0
S27,SPDR S&P500 US$,D,20010608,127.5000,127.5000,127.5000,127.5000,0,0
S27,SPDR S&P500 US$,D,20010611,127.5000,127.5000,127.5000,127.5000,0,0
S27,SPDR S&P500 US$,D,20010612,127.5000,127.5000,127.5000,127.5000,0,0
S27,SPDR S&P500 US$,D,20010613,127.5000,127.5000,127.5000,127.5000,0,0
S27,SPDR S&P500 US$,D,20010614,124.7000,124.7000,124.7000,124.7000,30,0
S27,SPDR S&P500 US$,D,20010615,121.9000,121.9000,121.9000,121.9000,5000,0
S27,SPDR S&P500 US$,D,20010618,122.0000,122.0000,122.0000,122.0000,10,0
S27,SPDR S&P500 US$,D,20010619,122.0000,122.0000,122.0000,122.0000,0,0
S27,SPDR S&P500 US$,D,20010620,122.0000,122.0000,122.0000,122.0000,0,0
S27,SPDR S&P500 US$,D,20010621,122.5000,122.5000,122.4000,122.4000,220,0
S27,SPDR S&P500 US$,D,20010622,122.4000,122.4000,122.4000,122.4000,0,0
S27,SPDR S&P500 US$,D,20010625,122.9000,122.9000,122.8000,122.9000,60,0
S27,SPDR S&P500 US$,D,20010626,122.9000,122.9000,122.9000,122.9000,0,0
S27,SPDR S&P500 US$,D,20010627,121.7000,121.7000,121.7000,121.7000,90,0
S27,SPDR S&P500 US$,D,20010628,121.5000,121.5000,121.4000,121.4000,20,0
S27,SPDR S&P500 US$,D,20010629,121.4000,121.4000,121.4000,121.4000,0,0
S27,SPDR S&P500 US$,D,20010702,122.6000,122.6000,122.6000,122.6000,10,0
S27,SPDR S&P500 US$,D,20010703,122.6000,122.6000,122.6000,122.6000,0,0
S27,SPDR S&P500 US$,D,20010704,124.1000,124.1000,124.1000,124.1000,410,0
S27,SPDR S&P500 US$,D,20010705,123.3000,123.3000,123.3000,123.3000,30,0
S27,SPDR S&P500 US$,D,20010706,121.4000,121.4000,121.4000,121.4000,10,0
S27,SPDR S&P500 US$,D,20010709,119.1000,119.1000,119.1000,119.1000,10,0
S27,SPDR S&P500 US$,D,20010710,119.1000,119.1000,119.1000,119.1000,0,0
S27,SPDR S&P500 US$,D,20010711,119.1000,119.1000,119.1000,119.1000,0,0
S27,SPDR S&P500 US$,D,20010712,119.1000,119.1000,119.1000,119.1000,0,0
