<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
ES3,STI ETF,D,20080110,3.6900,3.6900,3.6400,3.6400,29000,0
ES3,STI ETF,D,20080111,3.6500,3.6600,3.6400,3.6400,27000,0
ES3,STI ETF,D,20080114,3.6000,3.6000,3.4800,3.4800,79000,0
ES3,STI ETF,D,20080115,3.4700,3.4700,3.3800,3.3900,171000,0
ES3,STI ETF,D,20080116,3.3900,3.3900,3.2400,3.3000,173000,0
ES3,STI ETF,D,20080117,3.4000,3.4000,3.2300,3.3700,150000,0
ES3,STI ETF,D,20080118,3.2900,3.4000,3.2500,3.3800,147000,0
ES3,STI ETF,D,20080121,3.4300,3.4300,3.1700,3.3300,249000,0
ES3,STI ETF,D,20080122,3.2700,3.2700,2.9900,3.1000,575000,0
ES3,STI ETF,D,20080123,3.1500,3.3100,3.1000,3.2500,202000,0
ES3,STI ETF,D,20080124,3.3000,3.3000,3.1600,3.2000,101000,0
ES3,STI ETF,D,20080125,3.2800,3.3000,3.2500,3.3000,104000,0
ES3,STI ETF,D,20080128,3.2800,3.2800,3.2000,3.2100,57000,0
ES3,STI ETF,D,20080129,3.2200,3.2200,3.2000,3.2200,50000,0
ES3,STI ETF,D,20080130,3.2200,3.2300,3.1900,3.1900,70000,0
ES3,STI ETF,D,20080131,3.2200,3.2200,3.1700,3.1800,126000,0
ES3,STI ETF,D,20080201,3.2800,3.2800,3.1500,3.1900,138000,0
ES3,STI ETF,D,20080204,3.2600,3.2600,3.2000,3.2300,59000,0
ES3,STI ETF,D,20080205,3.2400,3.2400,3.2000,3.2300,79000,0
ES3,STI ETF,D,20080206,3.1900,3.1900,3.0900,3.0900,189000,0
ES3,STI ETF,D,20080211,3.1300,3.1300,3.0200,3.0800,176000,0
ES3,STI ETF,D,20080212,3.0900,3.1500,3.0500,3.1200,80000,0
ES3,STI ETF,D,20080213,3.1600,3.1600,3.1200,3.1200,58000,0
ES3,STI ETF,D,20080214,3.1500,3.2000,3.1500,3.1900,29000,0
ES3,STI ETF,D,20080215,3.1700,3.2000,3.1700,3.2000,32000,0
ES3,STI ETF,D,20080218,3.2100,3.2400,3.2000,3.2000,35000,0
ES3,STI ETF,D,20080219,3.2300,3.2300,3.1700,3.1700,107000,0
ES3,STI ETF,D,20080220,3.1500,3.2400,3.1500,3.1600,68000,0
